,work_id,nace,region_code,region,employee_points
0,143612748,11.070,03,Oslo,66
1,341274090,10.130,02,Akershus (-2019),53
2,884412708,10.920,03,Oslo,59
3,595597122,46.693,12,Hordaland (-2019),50
4,084588991,09.900,02,Akershus (-2019),100
5,662033428,11.060,03,Oslo,105
6,324308961,46.370,11,Rogaland,48
7,881533659,13.100,03,Oslo,56
8,509955208,46.694,12,Hordaland (-2019),52
9,009155335,11.010,03,Oslo,71
10,173205522,52.214,50,Trøndelag - Trööndelage,72
11,409734203,45.191,11,Rogaland,26
12,555833001,46.710,12,Hordaland (-2019),67
13,512820433,46.390,11,Rogaland,59
14,264266089,10.110,02,Akershus (-2019),35
15,885913539,52.219,50,Trøndelag - Trööndelage,40
16,221575493,52.215,50,Trøndelag - Trööndelage,34
17,222536976,11.050,03,Oslo,44
18,527300477,05.200,02,Akershus (-2019),31
19,554218193,45.192,11,Rogaland,36
20,014202977,46.491,12,Hordaland (-2019),40
21,527339568,50.101,50,Trøndelag - Trööndelage,42
22,793994473,52.216,50,Trøndelag - Trööndelage,44
23,808041614,12.000,03,Oslo,52
24,461130175,10.120,02,Akershus (-2019),49
25,962298271,46.381,11,Rogaland,32
26,716079167,47.911,15,Møre og Romsdal,27
27,275708777,09.109,02,Akershus (-2019),36
28,981568210,74.101,18,Nordland,41
29,889815148,10.840,03,Oslo,24
30,012081051,46.495,12,Hordaland (-2019),22
31,950271646,46.150,11,Rogaland,22
32,869465306,08.910,02,Akershus (-2019),34
33,280367594,01.630,01,Østfold (-2019),41
34,463159656,24.520,06,Buskerud (-2019),23
35,292629478,10.720,03,Oslo,22
36,382576405,07.290,02,Akershus (-2019),28
37,135300692,08.920,02,Akershus (-2019),43
38,245683196,24.540,06,Buskerud (-2019),39
39,829775201,27.400,07,Vestfold (-2019),27
40,902665748,50.203,50,Trøndelag - Trööndelage,19
41,001602241,47.914,15,Møre og Romsdal,17
42,892801133,74.103,18,Nordland,25
43,689510376,46.432,12,Hordaland (-2019),16
44,343698630,11.020,03,Oslo,25
45,455873756,46.691,12,Hordaland (-2019),19
46,139587913,46.210,11,Rogaland,15
47,291661029,01.000u,01,Østfold (-2019),24
48,744153304,74.200,18,Nordland,25
49,152623214,23.990,06,Buskerud (-2019),27
50,516923814,11.030,03,Oslo,69
51,224002840,51.210,50,Trøndelag - Trööndelage,16
52,373439805,47.913,15,Møre og Romsdal,33
53,770225900,46.360,11,Rogaland,23
54,546699867,46.620,12,Hordaland (-2019),27
55,025088106,81.291,19,Troms - Romsa (-2019),21
56,048679873,46.692,12,Hordaland (-2019),42
57,152338657,23.140,05,Oppland (-2019),16
58,725566553,06.100,02,Akershus (-2019),40
59,600422207,43.341,10,Vest-Agder (-2019),23
60,811224835,17.230,04,Hedmark (-2019),25
61,813827596,74.102,18,Nordland,13
62,430568810,27.520,07,Vestfold (-2019),30
63,201275756,27.900,07,Vestfold (-2019),15
64,912099265,01.280,01,Østfold (-2019),19
65,705290062,01.700,01,Østfold (-2019),28
66,593194103,46.433,12,Hordaland (-2019),17
67,528171708,08.113,02,Akershus (-2019),22
68,547570373,24.530,06,Buskerud (-2019),19
69,873442707,11.040,03,Oslo,29
70,679818927,13.910,03,Oslo,18
71,031025357,01.640,01,Østfold (-2019),15
72,401625673,43.911,10,Vest-Agder (-2019),21
73,197730468,81.210,19,Troms - Romsa (-2019),24
74,050791049,46.320,11,Rogaland,23
75,526105620,52.212,50,Trøndelag - Trööndelage,11
76,992915381,18.110,04,Hedmark (-2019),30
77,041795354,47.912,15,Møre og Romsdal,15
