,work_id,nace,region_code,region,employee_points
0,143612748,11.070,03,Oslo,66
1,341274090,10.130,02,Akershus (-2019),53
2,884412708,10.920,03,Oslo,59
3,595597122,46.693,12,Hordaland (-2019),50
4,084588991,09.900,02,Akershus (-2019),100
5,662033428,11.060,03,Oslo,105
6,324308961,46.370,11,Rogaland,48
7,881533659,13.100,03,Oslo,56
8,509955208,46.694,12,Hordaland (-2019),52
9,009155335,11.010,03,Oslo,71
10,173205522,52.214,50,Trøndelag - Trööndelage,72
11,409734203,45.191,11,Rogaland,26
12,555833001,46.710,12,Hordaland (-2019),67
13,512820433,46.390,11,Rogaland,59
14,264266089,10.110,02,Akershus (-2019),35
15,885913539,52.219,50,Trøndelag - Trööndelage,40
16,221575493,52.215,50,Trøndelag - Trööndelage,34
17,222536976,11.050,03,Oslo,44
18,527300477,05.200,02,Akershus (-2019),31
19,554218193,45.192,11,Rogaland,36
20,014202977,46.491,12,Hordaland (-2019),40
21,793994473,52.216,50,Trøndelag - Trööndelage,44
22,808041614,12.000,03,Oslo,52
23,461130175,10.120,02,Akershus (-2019),49
24,962298271,46.381,11,Rogaland,32
25,716079167,47.911,15,Møre og Romsdal,27
26,275708777,09.109,02,Akershus (-2019),36
27,981568210,74.101,18,Nordland,41
28,889815148,10.840,03,Oslo,24
29,950271646,46.150,11,Rogaland,22
30,869465306,08.910,02,Akershus (-2019),34
31,280367594,01.630,01,Østfold (-2019),41
32,463159656,24.520,06,Buskerud (-2019),23
33,292629478,10.720,03,Oslo,22
34,382576405,07.290,02,Akershus (-2019),28
35,135300692,08.920,02,Akershus (-2019),43
36,245683196,24.540,06,Buskerud (-2019),39
37,829775201,27.400,07,Vestfold (-2019),27
38,902665748,50.203,50,Trøndelag - Trööndelage,19
39,001602241,47.914,15,Møre og Romsdal,17
40,892801133,74.103,18,Nordland,25
41,689510376,46.432,12,Hordaland (-2019),16
42,343698630,11.020,03,Oslo,25
43,455873756,46.691,12,Hordaland (-2019),19
44,139587913,46.210,11,Rogaland,15
45,291661029,01.000u,01,Østfold (-2019),24
46,744153304,74.200,18,Nordland,25
47,152623214,23.990,06,Buskerud (-2019),27
48,516923814,11.030,03,Oslo,69
49,224002840,51.210,50,Trøndelag - Trööndelage,16
50,373439805,47.913,15,Møre og Romsdal,33
51,770225900,46.360,11,Rogaland,23
52,546699867,46.620,12,Hordaland (-2019),27
53,025088106,81.291,19,Troms - Romsa (-2019),21
54,048679873,46.692,12,Hordaland (-2019),42
55,152338657,23.140,05,Oppland (-2019),16
56,725566553,06.100,02,Akershus (-2019),40
57,600422207,43.341,10,Vest-Agder (-2019),23
58,811224835,17.230,04,Hedmark (-2019),25
59,813827596,74.102,18,Nordland,13
60,430568810,27.520,07,Vestfold (-2019),30
61,201275756,27.900,07,Vestfold (-2019),15
62,912099265,01.280,01,Østfold (-2019),19
63,705290062,01.700,01,Østfold (-2019),28
64,593194103,46.433,12,Hordaland (-2019),17
65,528171708,08.113,02,Akershus (-2019),22
66,547570373,24.530,06,Buskerud (-2019),19
67,873442707,11.040,03,Oslo,29
68,679818927,13.910,03,Oslo,18
69,031025357,01.640,01,Østfold (-2019),15
70,401625673,43.911,10,Vest-Agder (-2019),21
71,197730468,81.210,19,Troms - Romsa (-2019),24
72,050791049,46.320,11,Rogaland,23
73,526105620,52.212,50,Trøndelag - Trööndelage,11
74,992915381,18.110,04,Hedmark (-2019),30
75,041795354,47.912,15,Møre og Romsdal,15
76,736928400,10.860,03,Oslo,19
77,163959487,30.120,08,Telemark (-2019),23
